"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\employerprofile\employerprofile.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 18, 52
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\updateemployerprofile\updateemployerprofile.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\updateemployerprofile\updateemployerprofile.component.html", "HTML", 0, 0, 0, 0, 0, 79, 0, 0, 14, 93
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\updateemployerprofile\updateemployerprofile.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\updateemployerprofile\updateemployerprofile.component.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 20, 71
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewjobseekerprofiletoemployer\viewjobseekerprofiletoemployer.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewjobseekerprofiletoemployer\viewjobseekerprofiletoemployer.component.html", "HTML", 0, 0, 0, 0, 0, 86, 0, 7, 17, 110
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewjobseekerprofiletoemployer\viewjobseekerprofiletoemployer.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewjobseekerprofiletoemployer\viewjobseekerprofiletoemployer.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 13, 63
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewvacancyrequets\viewvacancyrequets.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewvacancyrequets\viewvacancyrequets.component.html", "HTML", 0, 0, 0, 0, 0, 45, 0, 4, 9, 58
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewvacancyrequets\viewvacancyrequets.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\employer\viewvacancyrequets\viewvacancyrequets.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 12, 47
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addexperiencejobseeker\addexperiencejobseeker.component.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addexperiencejobseeker\addexperiencejobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 74, 0, 1, 18, 93
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addexperiencejobseeker\addexperiencejobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addexperiencejobseeker\addexperiencejobseeker.component.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 12, 68
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addprofilejobseeker\addprofilejobseeker.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addprofilejobseeker\addprofilejobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 14, 96
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addprofilejobseeker\addprofilejobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addprofilejobseeker\addprofilejobseeker.component.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addqualificationjobseeker\addqualificationjobseeker.component.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addqualificationjobseeker\addqualificationjobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 58, 0, 1, 20, 79
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addqualificationjobseeker\addqualificationjobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\addqualificationjobseeker\addqualificationjobseeker.component.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 12, 64
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\showprofilejobseeker\showprofilejobseeker.component.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\showprofilejobseeker\showprofilejobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 106, 0, 7, 12, 125
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\showprofilejobseeker\showprofilejobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\showprofilejobseeker\showprofilejobseeker.component.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 0, 0, 13, 84
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateexperiencejobseeker\updateexperiencejobseeker.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateexperiencejobseeker\updateexperiencejobseeker.component.html", "HTML", 0, 0, 0, 0, 0, 65, 0, 0, 15, 80
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateexperiencejobseeker\updateexperiencejobseeker.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateexperiencejobseeker\updateexperiencejobseeker.component.ts", "TypeScript", 0, 0, 0, 57, 0, 0, 0, 0, 8, 65
"d:\synoptek\dotnet training\Exercise\Frontend\job-portalweb\src\app\components\jobseeker\updateprofilejobseeker\updateprofilejobseeker.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
